Age,Baden-Wuerttemberg_Male,Baden-Wuerttemberg_Female,Baden-Wuerttemberg_Total,Bayern_Male,Bayern_Female,Bayern_Total,Berlin_Male,Berlin_Female,Berlin_Total,Brandenburg_Male,Brandenburg_Female,Brandenburg_Total,Bremen_Male,Bremen_Female,Bremen_Total,Hamburg_Male,Hamburg_Female,Hamburg_Total,Hessen_Male,Hessen_Female,Hessen_Total,Mecklenburg-Vorpommern_Male,Mecklenburg-Vorpommern_Female,Mecklenburg-Vorpommern_Total,Niedersachsen_Male,Niedersachsen_Female,Niedersachsen_Total,Nordrhein-Westfalen_Male,Nordrhein-Westfalen_Female,Nordrhein-Westfalen_Total,Rheinland-Pfalz_Male,Rheinland-Pfalz_Female,Rheinland-Pfalz_Total,Saarland_Male,Saarland_Female,Saarland_Total,Sachsen_Male,Sachsen_Female,Sachsen_Total,Sachsen-Anhalt_Male,Sachsen-Anhalt_Female,Sachsen-Anhalt_Total,Schleswig-Holstein_Male,Schleswig-Holstein_Female,Schleswig-Holstein_Total,Th�ringen_Male,Th�ringen_Female,Th�ringen_Total
65 years,66596,70182,136778,78964,82084,161048,17942,19246,37188,19000,19573,38573,3694,4082,7776,8530,9335,17865,37242,39304,76546,12659,13573,26232,50044,52500,102544,110230,117226,227456,27421,28649,56070,7200,7546,14746,26866,28995,55861,16002,17737,33739,17442,18846,36288,16085,17014,33099
66 years,62178,66475,128653,73057,77953,151010,17267,19175,36442,18826,19597,38423,3539,3996,7535,7985,8753,16738,34975,37639,72614,12735,13687,26422,47689,50497,98186,103561,112985,216546,26057,27560,53617,6715,7204,13919,27392,30108,57500,16679,17816,34495,16780,18406,35186,15927,17180,33107
67 years,58595,64759,123354,69760,76437,146197,16586,19076,35662,18066,19421,37487,3358,3918,7276,7563,8634,16197,33748,36950,70698,12601,13467,26068,45620,49696,95316,99765,110689,210454,25249,26918,52167,6676,7272,13948,26632,30027,56659,16008,17387,33395,16402,18302,34704,15478,16888,32366
68 years,55549,62323,117872,66180,73302,139482,15951,18749,34700,17539,19068,36607,3224,3742,6966,7021,8319,15340,31393,35286,66679,12198,13177,25375,43678,47834,91512,93156,105556,198712,24148,26308,50456,6490,7031,13521,26406,30114,56520,15623,17682,33305,15692,17227,32919,15267,16683,31950
69 years,54840,61891,116731,65441,73903,139344,15375,18653,34028,16818,18631,35449,3113,3772,6885,7106,8366,15472,31429,35506,66935,11484,12852,24336,43656,47760,91416,90757,103996,194753,23954,25720,49674,6339,6779,13118,26696,30281,56977,15351,17316,32667,15456,17161,32617,14940,16522,31462
70 years,52769,59462,112231,62539,70867,133406,15447,18880,34327,16371,17765,34136,3120,3755,6875,6811,8279,15090,30356,34830,65186,10971,12325,23296,42637,46801,89438,86463,99909,186372,23160,24944,48104,5914,6567,12481,26627,31109,57736,14342,16734,31076,15311,16966,32277,14642,16373,31015
71 years,51987,59849,111836,62825,70971,133796,15732,19653,35385,14912,16859,31771,3108,3688,6796,6893,8503,15396,31041,35218,66259,10201,11210,21411,42135,46232,88367,85644,98937,184581,23097,25023,48120,6005,6573,12578,25299,29654,54953,13947,16243,30190,15200,17151,32351,13539,15668,29207
72 years,50886,57914,108800,60420,68944,129364,14655,18115,32770,12544,14224,26768,3125,3655,6780,6877,8419,15296,30512,34721,65233,8590,9687,18277,41195,45246,86441,84738,97468,182206,21834,24122,45956,6098,6604,12702,21714,25828,47542,11993,14522,26515,15080,16777,31857,12007,13651,25658
73 years,46649,52484,99133,56939,64698,121637,13331,16372,29703,10753,12077,22830,2870,3367,6237,6737,8011,14748,28408,32102,60510,7249,8307,15556,37811,41403,79214,75788,88525,164313,18550,20515,39065,5077,5656,10733,17172,20689,37861,9975,12126,22101,14306,16348,30654,10047,11792,21839
74 years,42414,48755,91169,54892,62766,117658,12250,15395,27645,9800,11624,21424,2667,3270,5937,6408,7510,13918,25892,30184,56076,6563,7695,14258,33269,37804,71073,68520,80826,149346,16141,18135,34276,4061,4609,8670,16533,20820,37353,9618,11771,21389,13145,15010,28155,9408,11195,20603
75 years,36155,42146,78301,46537,55159,101696,9632,11526,21158,6438,7830,14268,2624,3067,5691,5726,6951,12677,21811,25299,47110,4358,5002,9360,30260,35003,65263,60941,73658,134599,14022,15974,29996,3142,3761,6903,12278,15325,27603,7530,9418,16948,11936,14039,25975,7433,9226,16659
76 years,30081,36152,66233,36952,44140,81092,10334,13118,23452,7375,9298,16673,1998,2461,4459,4936,6260,11196,17567,20914,38481,4422,5425,9847,23382,27297,50679,49429,61923,111352,11296,13526,24822,2832,3397,6229,13835,18201,32036,7386,9600,16986,9446,11606,21052,6864,8600,15464
77 years,38480,46410,84890,47187,56082,103269,13419,16920,30339,10729,13741,24470,2414,2985,5399,6180,7732,13912,23003,27626,50629,6441,8103,14544,30102,36485,66587,62844,79003,141847,14498,17450,31948,3684,4607,8291,20095,25851,45946,10080,13239,23319,12433,14967,27400,9715,12391,22106
78 years,37522,46849,84371,45949,55467,101416,13892,17865,31757,11423,14396,25819,2530,3041,5571,6117,7731,13848,22282,26944,49226,6751,8729,15480,30598,36821,67419,61428,78051,139479,14148,17078,31226,3477,4434,7911,19205,25428,44633,10214,13363,23577,12620,15180,27800,9589,12079,21668
